Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
haul,fishing [n]: prise [f],quantity [n]: butin [m]; prise [f]; coup [m] de filet,transport [v]: transporter,objects [v]: traîner; tirer,law [v]: traîner; sommer de comparaître,,,,,,,,,,,,,,,,,,,,,,,,,
haulage,transport [n]: transport [m]; transport [m] routier; camionnage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haul down,general [v]: descendre,sail [v]: affaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hauler,profession - man [n]: camionneur [m]; routier [m],profession - woman [n]: femme camionneur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
haul in,fishnet [v]: amener; tirer de; haler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hauling,transport [n]: camionnage [m]; transport [m] routier,objects [n]: traînement [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
haul up,sail [v]: hisser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haunch,anatomy [n]: hanche [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haunt,phantom [v]: hanter,place [v]: fréquenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haunted,house [a]: hanté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haunted house,general [n]: maison [f] hantée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haunting,thought [a]: obsédant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haute couture,fashion [n]: haute couture [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havana,smoking [n]: havane [m (trademark)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,general [v]: avoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a baby,baby [v]: donner naissance à; avoir un bébé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a cold,medicine [v]: avoir un rhume; être enrhumé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have a conversation,converse [v]: converser; s'entretenir avec; parler avec; dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heightening,enhancement [n]: intensification [f]; augmentation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heinous,very bad [a]: atroce; abominable; odieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heir,man [n]: héritier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heiress,woman [n]: héritière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heirloom,general [n]: bijou [m] de famille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helical,shape [a]: hélicoïdal; hélicoïde; en hélice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helicopter,aviation [n]: hélicoptère [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heliograph,general [n]: héliographe [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heliotrope,botany [n]: héliotrope [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heliport,aviation [n]: héliport [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helium,chemistry [n]: hélium [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hell,mythology [n]: enfers [mp],religion [n]: enfer [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hellish,general [a]: infernal; diabolique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hello,greeting [o]: ohé [interj.]; holà [interj.]; hello; bonjour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helmet,safety [n]: casque [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helmsman,nautical [n]: homme [m] de barre; timonier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
help,result [n]: moyen [m]; outil [m]; aide [f],assistance [n]: assistance [f]; aide [f]; secours [m]; support [m],general [v]: pouvoir; aider,be one's fault [v]: être de la faute de,assist [v]: assister; aider,benefit [v]: profiter à; servir à; être utile à,,,,,,,,,,,,,,,,,,,,,,,,
heatstroke,medicine [n]: coup [m] de chaleur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat wave,meteorology [n]: vague [f] de chaleur; canicule [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heave,sea [n]: houle [f],objects  [v]: lancer,sea [v]: être houleux; être agité,body [v]: haleter,objects [v]: traîner; tirer; soulever,medicine [v]: avoir des haut-le-cœur,,,,,,,,,,,,,,,,,,,,,,,,
heaven,general [n]: ciel [m],religion [n]: paradis [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavenly,astronomy [a]: céleste,celestial [a]: céleste; paradisiaque; divin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavenly body,astronomy [n]: corps [m] céleste; astre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heaven-sent,general [a]: providentiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavily,weight [o]: lourdement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heaviness,weight [n]: lourdeur [f]; pesanteur [f]; poids [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy,accent [a]: fort; gros; prononcé,intense [a]: fort,turbid [a]: dense; épais; lourd,duty [a]: pénible,weight [a]: lourd; pesant,food [a]: lourd; indigeste,feelings [a]: pesant; oppressé; accablé,,,,,,,,,,,,,,,,,,,,,,,
heavy-duty,material [a]: très résistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy-eyed,drowsy [a]: assoupi; somnolent; pris de sommeil; aux paupières lourdes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy-handed,person [a]: cruel; impitoyable,behavior [a]: maladroit; gauche; lourdaud; dur; exigeant; strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy-hearted,emotion [a]: qui a le cœur lourd; qui a le cœur gros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy hydrogen,chemistry [n]: hydrogène [m] lourd; deutérium [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy industry,industry [n]: industrie [f] lourde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy-laden,general [a]: lourdement chargé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavyset,body [a]: charnu; musclé; costaud; solidement bâti; robuste; de forte carrure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy water,chemistry [n]: eau [f] lourde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavyweight,sports - boxing [n]: poids [m] lourd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,general [a]: hébreu; hébraïque,language [n]: hébreu [m],ethnology - man [n]: Hébreu [m],ethnology - woman [n]: Israélite [f],,,,,,,,,,,,,,,,,,,,,,,,,,
heck,interjection [o]: zut [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heckle,conversation [v]: interrompre; interpeller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heckler,politics - man [n]: perturbateur [m]; interpellateur [m],politics - woman [n]: perturbatrice [f]; interpellatrice [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hectare,measures - weights [n]: hectare [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hectic,general [a]: agité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedge,general [n]: haie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedge against,safety [v]: se protéger contre; se couvrir de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedge-clippers,tools [n]: sécateur [m] à haie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedgehog,zoology [n]: hérisson [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedgerow,general [n]: bordure [f] d'arbres formant une haie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedge-shears,tools [n]: sécateur [m] à haie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedge-trimmer,tools [n]: sécateur [m] à haie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedonism,philosophy [n]: hédonisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heed,attention [n]: attention [f]; prudence [f],general [v]: faire attention à,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heedful,attentive [a]: attentif; observateur; attentif à; soigneux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heedless,behavior [a]: étourdi; insouciant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heehaw,donkey [v]: braire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hee-haw,donkey [v]: braire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heel,anatomy [n]: talon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hefty,powerful [a]: puissant,quantity [a]: lourd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hegemony,politics [n]: hégémonie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hegira,general [n]: hégire [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heifer,animal husbandry [n]: génisse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
height,measures - weights [n]: hauteur [f]; altitude [f],person [n]: stature [f]; taille [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
heighten,anger [v]: envenimer; aviver; exciter,feelings [v]: attiser; aviver; intensifier,enhance [v]: accroître; agrandir; augmenter,,,,,,,,,,,,,,,,,,,,,,,,,,,
helper,man [n]: aide [m]; assistant [m]; auxiliaire [m]; adjoint [m]; bras [m] droit,woman [n]: aide [f]; assistante [f]; auxiliaire [f]; adjointe [f]; bras [m] droit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helpful,suggestion [a]: utile,people [a]: secourable,accommodating [a]: complaisant; obligeant; serviable,constructive [a]: constructif; pratique; utile,,,,,,,,,,,,,,,,,,,,,,,,,,
helping,assisting [a]: aidant; assistant; coopérant,food [n]: portion [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
healer,person - man [n]: guérisseur [m],person - woman [n]: guérisseuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
healing,disease [n]: guérison [f],curing [n]: guérison [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
health,general [n]: santé [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health care,health [n]: santé [f] publique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health center,medical advice [n]: centre [m] médico-social; dispensaire [m],medicine [n]: centre [m] médico-social,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health fanatic,health - man [n]: fanatique [m] d'aliments naturels,health - woman [n]: fanatique [m] d'aliments naturels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health food,health [n]: aliment [m] naturel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health-giving,medicine [a]: salutaire; bon pour la santé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthiness,general [n]: salubrité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy,physical condition [a]: sain; en bonne santé; bien portant,baby [a]: rebondissant,health [a]: bien portant; en bonne santé,,,,,,,,,,,,,,,,,,,,,,,,,,,
heap,quantity [n]: tas [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heap of manure,agriculture [n]: tas [m] de fumier; fumier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heap of rubbish,destruction [n]: monceau [m] de décombres; amas [m] de décombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heap of rubble,destruction [n]: monceau [m] de décombres; amas [m] de décombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heap up,objects [v]: empiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hear,complaint [v]: écouter; entendre,physiology [v]: entendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearer,man [n]: auditeur [m],woman [n]: auditrice [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearing,meeting [n]: séance [f] publique,physiology [n]: ouïe [f],law [n]: audition [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hearing aid,medicine [n]: appareil [m] auditif; audiophone [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearing-impaired,medicine [a]: malentendant,medicine [n]: malentendants [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hear out,conversation [v]: écouter jusqu'au bout; laisser achever; laisser finir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearsay,story [n]: rumeur [f]; ouï-dire [m (invariable)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearse,funeral [n]: corbillard [m]; fourgon [m] mortuaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart,anatomy [n]: cœur [m],center [n]: centre [m]; cœur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartache,sorrow [n]: peine [f] de cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helpless,general [a]: impuissant; désemparé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
help out,money [v]: dépanner; tirer d'embarras; donner un coup de main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
help someone out,help [v]: venir à l'aide de quelqu'un; venir à la rescousse de quelqu'un; intervenir en faveur de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helsinki,geography [n]: Helsinki [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helter-skelter,haste [o]: à la débandade; à la six-quatre-deux [informal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hem,clothing [n]: ourlet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he-man,general [n]: mec [m] viril [c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemisphere,geography [n]: hémisphère [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemispheric,shape [a]: hémisphérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemline,clothing [n]: ourlet [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemlock,botany [n]: ciguë [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemodialyzer,medicine [n]: rein [m] artificiel; dialyseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemophilia,medicine [n]: hémophilie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemorrhage,medicine [n]: hémorragie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha,general [o]: ha [interj.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haberdasher,clothing - man [n]: chemisier [m]; marchand [m] de confection pour hommes,clothing - woman [n]: marchande [f] de confection pour hommes; spécialiste [f] de confection pour hommes; chemisière [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
haberdashery,store [n]: maison [f] de confection pour hommes; maison [f] d'habillement pour hommes,clothing [n]: articles [mp] de confection pour hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habit,religion - clothing [n]: froc [m]; bure [f],custom [n]: habitude [f]; coutume [f]; usage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitable,general [a]: habitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitant,man [n]: habitant [m]; résident [m],woman [n]: habitante [f]; résidente [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitat,botany - zoology [n]: habitat [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitation,building [n]: habitation [f],action [n]: habitation [f]; occupation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
habits,character [n]: habitudes [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitual,habit [a]: habituel; coutumier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitually,habit [o]: habituellement; d'habitude; ordinairement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habituate,habit [v]: s'accoutumer; s'habituer; familiariser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habituated,habit [a]: accoutumé; habitué; familiarisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawser,nautical [n]: amarre [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawthorn,botany - tree [n]: aubépine [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hay,agriculture [n]: foin [m],agriculture [v]: faner; faire les foins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haycart,agriculture [n]: fourragère [f] de foin; char [m] de foin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haycock,agriculture [n]: tas [m] de foin; meulon [m] de foin; meulette [f] de foin; petit tas [m] de foin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hay fever,medicine [n]: rhume [m] des foins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hayfork,agriculture [n]: fourche [f] à foin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haymaker,agriculture [n]: faneur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hayrick,agriculture [n]: meule [f] de foin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haystack,agriculture [n]: meule [f] de foin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hazard,danger [n]: danger [m]; péril [m]; hasard [m]; risque [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hazardous,activity [a]: hasardeux; risqué; dangereux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haze,meteorology [n]: brume [f] légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hazel,wood [n]: bois [m] de noisetier,botany - tree [n]: noisetier [m]; coudrier [m]; avelinier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hazelnut,botany - fruit [n]: noisette [f]; aveline [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haziness,weather [n]: état [m] brumeux; état [m] nébuleux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hazy,doubt [a]: incertain,idea [a]: vague; flou,meteorology [a]: brumeux,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcf,mathematics [n]: P.G.C.D. [m]; plus grand commun diviseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,pers. pron. - subject [o]: il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head,business company - man [n]: patron [m]; chef [m],business company - woman [n]: chef [m]; patronne [f],anatomy [n]: tête [f],direction [v]: se diriger vers,lead [v]: mener; être à la tête,,,,,,,,,,,,,,,,,,,,,,,,,
headache,problem [n]: souci [m]; préoccupation [f]; tracas [m]; ennui [m]; tintouin [informal],medicine [n]: mal [m] de tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headband,clothing [n]: bandeau [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headboard,furniture [n]: dosseret [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headcheese,culinary [n]: fromage [m] de tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headdress,clothing [n]: coiffure [f]; coiffe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headed,letter  [a]: muni d'un en-tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
header,sports - soccer [n]: tête [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headfirst,posture [o]: la tête la première,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head for,direction [v]: aller vers; prendre le chemin de; se diriger vers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headgear,clothing [n]: couvre-chef [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headhunt,clans - tribes [v]: faire la chasse aux têtes; chasser des têtes,business company [v]: chercher des cadres; rechercher des cadres; recruter des cadres pour une entreprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headhunter,clans - tribes - man [n]: chasseur [m] de têtes; coupeur [m] de têtes,business company - man [n]: recruteur [m] de cadres,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heading,writing [n]: intitulé [m]; titre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlamp,automobiles [n]: phare [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heathen,religion [a]: païen,behavior [a]: barbare,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heathenish,religion [a]: païen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heathenism,religion [n]: paganisme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halfback,sports - soccer [n]: demi-arrière [m]; demi [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-baked,plan [a]: mal préparé; qui ne tient pas debout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-blind,general [a]: à moitié aveugle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-breed,race - man [n]: métis [m],race - woman [n]: métisse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
half brother,general [n]: demi-frère [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-hearted,action [a]: tiède; timide; sans conviction; sans enthousiasme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-length,art [n]: portrait [m] en buste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-life,physics [n]: demi-vie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-light,general [n]: demi-jour [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half moon,astronomy [n]: demi-lune [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half note,music [n]: blanche [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half pay,military [n]: demi-solde [f]; solde [f] de non-activité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half sister,general [n]: demi-sœur [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half step,music [n]: demi-ton [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-timbered,architecture [o]: à colombages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half time,sports [n]: mi-temps [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-truth,general [n]: demi-vérité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habituation,narcotics [n]: accoutumance [f],habit [n]: habitude [f]; accoutumance [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitué,bar [n]: habitué [m]; pilier [m (pej.)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hack,general [v]: hacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hacking cough,medicine [n]: toux [f] sèche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hackneyed,comment [a]: rebattu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hacksaw,tools [n]: scie [f] à métaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haddock,ichthyology [n]: aiglefin [m]; églefin [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haft,knife [n]: manche [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hag,derogatory - woman [n]: vieille commère [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haggard,emotional behavior [a]: défait; abattu; égaré; hagard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haggle,price [v]: marchander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hagiographer,general [n]: hagiographe [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hagiography,religion [n]: hagiographique [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hagridden,thought [a]: tourmenté; obsédé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha-ha,border [n]: saut [m] de loup,interjection [o]: ha ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haiku,poetry [n]: haïku [m]; haïkaï [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hail,meteorology [n]: grêle [f],meteorology [v]: grêler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hailstone,meteorology [n]: grêlon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hailstorm,meteorology [n]: averse [f] de grêle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair,punishment [v]: décapiter; guillotiner,body [n]: poil [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairbreadth,distance [n]: épaisseur [f] d'un cheveu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairbrush,body care [n]: brosse [f] à cheveux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haircut,body care [n]: coiffure [f]; coupe [f] de cheveux; coupe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haircutter,profession - man [n]: coiffeur [m] pour hommes; coiffeur [m] pour dames,profession - woman [n]: coiffeuse [f] pour dames; coiffeuse [f] pour hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairdo,body care [n]: coiffure [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairdresser,profession - man [n]: coiffeur [m] pour hommes; coiffeur [m] pour dames,profession - woman [n]: coiffeuse [f] pour dames; coiffeuse [f] pour hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairdresser's,beauty care - man [n]: boutique [f] de coiffeur pour hommes,beauty care - woman [n]: salon [m] de coiffure; salon [m] de beauté,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairdressing,body care [n]: coiffure [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairdressing salon,beauty care - man [n]: boutique [f] de coiffeur pour hommes,beauty care - woman [n]: salon [m] de coiffure; salon [m] de beauté,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair dryer,body care [n]: séchoir [m] à cheveux; sèche-cheveux [m (invariable)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair follicle,anatomy [n]: follicule [m] pileux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairless,hair [a]: chauve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairlessness,medicine [n]: calvitie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairline,anatomy [n]: naissance [f] des cheveux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairnet,body care [n]: filet [m] pour cheveux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairpiece,hair [n]: mèche [f] postiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairpin,beauty care [n]: épingle [f] à cheveux,road [n]: virage [m] en épingle à cheveux,hair [n]: épingle [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hairpin curve,road [n]: virage [m] en épingle à cheveux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairpin turn,road [n]: virage [m] en épingle à cheveux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair-raising,fear [a]: effrayant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair's breadth,distance [n]: épaisseur [f] d'un cheveu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairsplitting,behavior [a]: ergoteur; chicanier; pinailleur [informal],behavior [n]: chicane [m]; ergoterie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair spray,cosmetics [n]: laque [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairspring,watch [n]: spiral [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairstyle,body care [n]: coiffure [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
